transaction_id,item,dept
15,Plain New York Bagels,Bakery & Deli
16,Artisanal Sourdough Bread,Bakery & Deli
16,Barista Oat Milk,Dairy & Eggs
16,Grade A Large Pasture Eggs,Dairy & Eggs
16,Organic Whole Milk,Dairy & Eggs
16,Salted Creamery Butter,Dairy & Eggs
16,Sparkling Mineral Water,Beverages
17,Fresh Limes,Produce
17,Fresh Organic Cilantro,Produce
17,Grade A Large Pasture Eggs,Dairy & Eggs
17,Grated Parmesan Cheese,Pantry
17,Mild Chunky Salsa,Pantry
17,Organic Hass Avocados,Produce
17,Organic Tortilla Chips,Pantry
17,Roma Tomatoes,Produce
17,Sparkling Mineral Water,Beverages
18,Fresh Limes,Produce
18,Fresh Organic Cilantro,Produce
18,Mild Chunky Salsa,Pantry
18,Organic Hass Avocados,Produce
18,Organic Tortilla Chips,Pantry
18,Roma Tomatoes,Produce
18,Sparkling Mineral Water,Beverages
19,Extra Virgin Olive Oil,Pantry
19,Organic Baby Spinach,Produce
19,Organic Hass Avocados,Produce
19,Oven Roasted Turkey Breast,Bakery & Deli
19,Roasted Salted Almonds,Snacks
19,Roma Tomatoes,Produce
19,Sparkling Mineral Water,Beverages
20,Fresh Organic Cilantro,Produce
20,Organic Hass Avocados,Produce
20,Organic Tortilla Chips,Pantry
21,Artisanal Sourdough Bread,Bakery & Deli
21,Barista Oat Milk,Dairy & Eggs
21,Espresso Roast Coffee Beans,Beverages
21,Grade A Large Pasture Eggs,Dairy & Eggs
21,Madagascar Vanilla Syrup,Beverages
21,Organic Bananas,Produce
22,Creamy Peanut Butter,Pantry
22,Espresso Roast Coffee Beans,Beverages
22,Grade A Large Pasture Eggs,Dairy & Eggs
22,Organic Whole Milk,Dairy & Eggs
23,Artisanal Sourdough Bread,Bakery & Deli
23,Extra Virgin Olive Oil,Pantry
23,Grated Parmesan Cheese,Pantry
23,Penne Rigate Pasta,Pantry
23,Roma Tomatoes,Produce
23,Slow-Simmered Marinara,Pantry
24,72% Dark Chocolate Bar,Snacks
24,Aged Sharp Cheddar,Dairy & Eggs
24,Artisanal Sourdough Bread,Bakery & Deli
24,Barista Oat Milk,Dairy & Eggs
24,Espresso Roast Coffee Beans,Beverages
24,Fresh Limes,Produce
24,Grade A Large Pasture Eggs,Dairy & Eggs
24,Organic Hass Avocados,Produce
24,Organic Whole Milk,Dairy & Eggs
25,Fresh Limes,Produce
25,Fresh Organic Cilantro,Produce
25,Mild Chunky Salsa,Pantry
25,Organic Hass Avocados,Produce
25,Sea Salt Kettle Chips,Snacks
25,Slow-Simmered Marinara,Pantry
25,Sparkling Mineral Water,Beverages
26,Extra Virgin Olive Oil,Pantry
26,Organic Baby Spinach,Produce
26,Organic Bananas,Produce
26,Organic Hass Avocados,Produce
26,Roma Tomatoes,Produce
26,Sparkling Mineral Water,Beverages
27,Fresh Limes,Produce
27,Fresh Organic Cilantro,Produce
27,Organic Hass Avocados,Produce
27,Organic Tortilla Chips,Pantry
27,Roma Tomatoes,Produce
27,Sparkling Mineral Water,Beverages
28,Extra Virgin Olive Oil,Pantry
28,Organic Baby Spinach,Produce
28,Penne Rigate Pasta,Pantry
28,Slow-Simmered Marinara,Pantry
29,Espresso Roast Coffee Beans,Beverages
29,Grade A Large Pasture Eggs,Dairy & Eggs
29,Madagascar Vanilla Syrup,Beverages
29,Mild Chunky Salsa,Pantry
29,Organic Whole Milk,Dairy & Eggs
30,Extra Virgin Olive Oil,Pantry
30,Grated Parmesan Cheese,Pantry
30,Penne Rigate Pasta,Pantry
31,Fresh Organic Cilantro,Produce
31,Organic Tortilla Chips,Pantry
31,Sparkling Mineral Water,Beverages
32,Extra Virgin Olive Oil,Pantry
32,Honeycrisp Apples,Produce
32,Organic Baby Spinach,Produce
32,Organic Hass Avocados,Produce
32,Oven Roasted Turkey Breast,Bakery & Deli
32,Roma Tomatoes,Produce
32,Sparkling Mineral Water,Beverages
33,Fresh Organic Cilantro,Produce
33,Grated Parmesan Cheese,Pantry
33,Penne Rigate Pasta,Pantry
33,Roma Tomatoes,Produce
33,Slow-Simmered Marinara,Pantry
34,72% Dark Chocolate Bar,Snacks
34,Artisanal Sourdough Bread,Bakery & Deli
34,Grated Parmesan Cheese,Pantry
34,Sea Salt Kettle Chips,Snacks
34,Slow-Simmered Marinara,Pantry
35,Artisanal Sourdough Bread,Bakery & Deli
35,Fresh Limes,Produce
35,Fresh Organic Cilantro,Produce
35,Organic Bananas,Produce
35,Organic Hass Avocados,Produce
35,Organic Tortilla Chips,Pantry
35,Penne Rigate Pasta,Pantry
36,Fresh Limes,Produce
36,Fresh Organic Cilantro,Produce
36,Mild Chunky Salsa,Pantry
36,Organic Hass Avocados,Produce
36,Organic Tortilla Chips,Pantry
37,Fresh Limes,Produce
37,Fresh Organic Cilantro,Produce
37,Organic Hass Avocados,Produce
37,Organic Tortilla Chips,Pantry
37,Sparkling Mineral Water,Beverages
38,72% Dark Chocolate Bar,Snacks
38,Artisanal Sourdough Bread,Bakery & Deli
38,Grated Parmesan Cheese,Pantry
38,Penne Rigate Pasta,Pantry
38,Slow-Simmered Marinara,Pantry
39,Barista Oat Milk,Dairy & Eggs
39,Extra Virgin Olive Oil,Pantry
39,Grade A Large Pasture Eggs,Dairy & Eggs
39,Mild Chunky Salsa,Pantry
39,Organic Baby Spinach,Produce
39,Organic Hass Avocados,Produce
39,Roma Tomatoes,Produce
39,Sparkling Mineral Water,Beverages
40,Fresh Limes,Produce
40,Organic Hass Avocados,Produce
40,Organic Tortilla Chips,Pantry
40,Roma Tomatoes,Produce
41,Artisanal Sourdough Bread,Bakery & Deli
41,Espresso Roast Coffee Beans,Beverages
41,Grade A Large Pasture Eggs,Dairy & Eggs
41,Madagascar Vanilla Syrup,Beverages
41,Organic Green Tea Bags,Beverages
41,Organic Whole Milk,Dairy & Eggs
41,Roasted Salted Almonds,Snacks
41,Salted Creamery Butter,Dairy & Eggs
42,Extra Virgin Olive Oil,Pantry
42,Organic Baby Spinach,Produce
42,Oven Roasted Turkey Breast,Bakery & Deli
42,Roasted Salted Almonds,Snacks
42,Sparkling Mineral Water,Beverages
43,Extra Virgin Olive Oil,Pantry
43,Organic Baby Spinach,Produce
43,Organic Hass Avocados,Produce
43,Roma Tomatoes,Produce
43,Slow-Simmered Marinara,Pantry
43,Sparkling Mineral Water,Beverages
44,Artisanal Sourdough Bread,Bakery & Deli
44,Organic Bananas,Produce
44,Organic Strawberry Jam,Pantry
45,Fresh Limes,Produce
45,Fresh Organic Cilantro,Produce
45,Organic Hass Avocados,Produce
45,Organic Tortilla Chips,Pantry
45,Roma Tomatoes,Produce
46,Extra Virgin Olive Oil,Pantry
46,Organic Baby Spinach,Produce
46,Organic Hass Avocados,Produce
46,Roasted Salted Almonds,Snacks
47,Artisanal Sourdough Bread,Bakery & Deli
47,Barista Oat Milk,Dairy & Eggs
47,Grade A Large Pasture Eggs,Dairy & Eggs
47,Madagascar Vanilla Syrup,Beverages
47,Organic Whole Milk,Dairy & Eggs
48,Barista Oat Milk,Dairy & Eggs
48,Extra Virgin Olive Oil,Pantry
48,Honeycrisp Apples,Produce
48,Organic Baby Spinach,Produce
48,Organic Bananas,Produce
48,Organic Hass Avocados,Produce
48,Roma Tomatoes,Produce
49,Creamy Peanut Butter,Pantry
49,Extra Virgin Olive Oil,Pantry
49,Organic Bananas,Produce
49,Organic Hass Avocados,Produce
49,Oven Roasted Turkey Breast,Bakery & Deli
49,Roasted Salted Almonds,Snacks
49,Roma Tomatoes,Produce
50,Fresh Limes,Produce
50,Fresh Organic Cilantro,Produce
50,Mild Chunky Salsa,Pantry
50,Organic Hass Avocados,Produce
50,Organic Tortilla Chips,Pantry
50,Roma Tomatoes,Produce
51,Grade A Large Pasture Eggs,Dairy & Eggs
51,Madagascar Vanilla Syrup,Beverages
51,Organic Whole Milk,Dairy & Eggs
51,Salted Creamery Butter,Dairy & Eggs
52,Artisanal Sourdough Bread,Bakery & Deli
52,Creamy Peanut Butter,Pantry
52,Extra Virgin Olive Oil,Pantry
52,Organic Bananas,Produce
52,Organic Strawberry Jam,Pantry
52,Organic Whole Milk,Dairy & Eggs
52,Sea Salt Kettle Chips,Snacks
52,Slow-Simmered Marinara,Pantry
53,Barista Oat Milk,Dairy & Eggs
53,Espresso Roast Coffee Beans,Beverages
53,Grade A Large Pasture Eggs,Dairy & Eggs
53,Madagascar Vanilla Syrup,Beverages
53,Salted Creamery Butter,Dairy & Eggs
54,Fresh Limes,Produce
54,Fresh Organic Cilantro,Produce
54,Organic Hass Avocados,Produce
54,Oven Roasted Turkey Breast,Bakery & Deli
54,Plain New York Bagels,Bakery & Deli
54,Sparkling Mineral Water,Beverages
55,Artisanal Sourdough Bread,Bakery & Deli
55,Cold Brew Concentrate,Beverages
55,Espresso Roast Coffee Beans,Beverages
55,Grade A Large Pasture Eggs,Dairy & Eggs
55,Madagascar Vanilla Syrup,Beverages
55,Organic Whole Milk,Dairy & Eggs
55,Penne Rigate Pasta,Pantry
56,Fresh Limes,Produce
56,Fresh Organic Cilantro,Produce
56,Organic Hass Avocados,Produce
56,Roma Tomatoes,Produce
56,Sparkling Mineral Water,Beverages
57,Barista Oat Milk,Dairy & Eggs
57,Espresso Roast Coffee Beans,Beverages
57,Grade A Large Pasture Eggs,Dairy & Eggs
57,Madagascar Vanilla Syrup,Beverages
57,Organic Whole Milk,Dairy & Eggs
57,Salted Creamery Butter,Dairy & Eggs
58,Extra Virgin Olive Oil,Pantry
58,Grated Parmesan Cheese,Pantry
58,Penne Rigate Pasta,Pantry
58,Slow-Simmered Marinara,Pantry
59,Fresh Limes,Produce
59,Fresh Organic Cilantro,Produce
59,Mild Chunky Salsa,Pantry
59,Organic Hass Avocados,Produce
59,Organic Tortilla Chips,Pantry
60,Artisanal Sourdough Bread,Bakery & Deli
60,Barista Oat Milk,Dairy & Eggs
60,Espresso Roast Coffee Beans,Beverages
60,Grade A Large Pasture Eggs,Dairy & Eggs
60,Organic Whole Milk,Dairy & Eggs
61,Artisanal Sourdough Bread,Bakery & Deli
61,Brioche Sandwich Buns,Bakery & Deli
61,Espresso Roast Coffee Beans,Beverages
61,Fresh Organic Cilantro,Produce
61,Madagascar Vanilla Syrup,Beverages
61,Organic Whole Milk,Dairy & Eggs
62,Grated Parmesan Cheese,Pantry
62,Organic Bananas,Produce
62,Penne Rigate Pasta,Pantry
62,Slow-Simmered Marinara,Pantry
63,Artisanal Sourdough Bread,Bakery & Deli
63,Creamy Peanut Butter,Pantry
63,Organic Bananas,Produce
63,Organic Hass Avocados,Produce
63,Organic Strawberry Jam,Pantry
63,Organic Whole Milk,Dairy & Eggs
63,Oven Roasted Turkey Breast,Bakery & Deli
63,Plain New York Bagels,Bakery & Deli
63,Sea Salt Kettle Chips,Snacks
64,Artisanal Sourdough Bread,Bakery & Deli
64,Barista Oat Milk,Dairy & Eggs
64,Espresso Roast Coffee Beans,Beverages
64,Grade A Large Pasture Eggs,Dairy & Eggs
64,Organic Whole Milk,Dairy & Eggs
64,Plain New York Bagels,Bakery & Deli
64,Salted Creamery Butter,Dairy & Eggs
65,Artisanal Sourdough Bread,Bakery & Deli
65,Creamy Peanut Butter,Pantry
65,Organic Bananas,Produce
65,Organic Strawberry Jam,Pantry
65,Salted Creamery Butter,Dairy & Eggs
66,Extra Virgin Olive Oil,Pantry
66,Greek Whole Milk Yogurt,Dairy & Eggs
66,Organic Hass Avocados,Produce
66,Oven Roasted Turkey Breast,Bakery & Deli
66,Roma Tomatoes,Produce
67,Fresh Limes,Produce
67,Fresh Organic Cilantro,Produce
67,Mild Chunky Salsa,Pantry
67,Organic Hass Avocados,Produce
67,Organic Tortilla Chips,Pantry
67,Roma Tomatoes,Produce
68,72% Dark Chocolate Bar,Snacks
68,Extra Virgin Olive Oil,Pantry
68,Grated Parmesan Cheese,Pantry
68,Organic Whole Milk,Dairy & Eggs
68,Penne Rigate Pasta,Pantry
68,Slow-Simmered Marinara,Pantry
69,Artisanal Sourdough Bread,Bakery & Deli
69,Barista Oat Milk,Dairy & Eggs
69,Espresso Roast Coffee Beans,Beverages
69,Grade A Large Pasture Eggs,Dairy & Eggs
69,Organic Whole Milk,Dairy & Eggs
69,Salted Creamery Butter,Dairy & Eggs
70,Extra Virgin Olive Oil,Pantry
70,Grated Parmesan Cheese,Pantry
70,Penne Rigate Pasta,Pantry
70,Roma Tomatoes,Produce
70,Slow-Simmered Marinara,Pantry
71,Artisanal Sourdough Bread,Bakery & Deli
71,Barista Oat Milk,Dairy & Eggs
71,Espresso Roast Coffee Beans,Beverages
71,Grade A Large Pasture Eggs,Dairy & Eggs
71,Madagascar Vanilla Syrup,Beverages
71,Organic Whole Milk,Dairy & Eggs
71,Salted Creamery Butter,Dairy & Eggs
72,Artisanal Sourdough Bread,Bakery & Deli
72,Barista Oat Milk,Dairy & Eggs
72,Espresso Roast Coffee Beans,Beverages
72,Grade A Large Pasture Eggs,Dairy & Eggs
72,Madagascar Vanilla Syrup,Beverages
72,Organic Bananas,Produce
72,Organic Whole Milk,Dairy & Eggs
72,Plain New York Bagels,Bakery & Deli
72,Roma Tomatoes,Produce
73,Barista Oat Milk,Dairy & Eggs
73,Espresso Roast Coffee Beans,Beverages
73,Grade A Large Pasture Eggs,Dairy & Eggs
73,Madagascar Vanilla Syrup,Beverages
73,Organic Whole Milk,Dairy & Eggs
74,Barista Oat Milk,Dairy & Eggs
74,Espresso Roast Coffee Beans,Beverages
74,Extra Virgin Olive Oil,Pantry
74,Grade A Large Pasture Eggs,Dairy & Eggs
74,Organic Strawberry Jam,Pantry
74,Organic Whole Milk,Dairy & Eggs
74,Plain New York Bagels,Bakery & Deli
74,Salted Creamery Butter,Dairy & Eggs
75,Artisanal Sourdough Bread,Bakery & Deli
75,Grade A Large Pasture Eggs,Dairy & Eggs
75,Honeycrisp Apples,Produce
75,Organic Bananas,Produce
75,Organic Whole Milk,Dairy & Eggs
75,Oven Roasted Turkey Breast,Bakery & Deli
75,Salted Creamery Butter,Dairy & Eggs
76,Artisanal Sourdough Bread,Bakery & Deli
76,Barista Oat Milk,Dairy & Eggs
76,Grade A Large Pasture Eggs,Dairy & Eggs
76,Grated Parmesan Cheese,Pantry
76,Madagascar Vanilla Syrup,Beverages
76,Organic Whole Milk,Dairy & Eggs
77,Artisanal Sourdough Bread,Bakery & Deli
77,Barista Oat Milk,Dairy & Eggs
77,Espresso Roast Coffee Beans,Beverages
77,Grade A Large Pasture Eggs,Dairy & Eggs
77,Madagascar Vanilla Syrup,Beverages
77,Organic Whole Milk,Dairy & Eggs
77,Salted Creamery Butter,Dairy & Eggs
78,Fresh Limes,Produce
78,Fresh Organic Cilantro,Produce
78,Honeycrisp Apples,Produce
78,Mild Chunky Salsa,Pantry
78,Organic Baby Spinach,Produce
78,Organic Hass Avocados,Produce
78,Organic Tortilla Chips,Pantry
79,Extra Virgin Olive Oil,Pantry
79,Organic Baby Spinach,Produce
79,Organic Hass Avocados,Produce
79,Roasted Salted Almonds,Snacks
79,Roma Tomatoes,Produce
80,72% Dark Chocolate Bar,Snacks
80,Fresh Limes,Produce
80,Fresh Organic Cilantro,Produce
80,Organic Hass Avocados,Produce
80,Organic Tortilla Chips,Pantry
80,Roma Tomatoes,Produce
80,Slow-Simmered Marinara,Pantry
80,Sparkling Mineral Water,Beverages
81,72% Dark Chocolate Bar,Snacks
81,Artisanal Sourdough Bread,Bakery & Deli
81,Extra Virgin Olive Oil,Pantry
81,Grated Parmesan Cheese,Pantry
81,Penne Rigate Pasta,Pantry
81,Slow-Simmered Marinara,Pantry
82,Creamy Peanut Butter,Pantry
82,Espresso Roast Coffee Beans,Beverages
82,Extra Virgin Olive Oil,Pantry
82,Grated Parmesan Cheese,Pantry
82,Slow-Simmered Marinara,Pantry
83,Extra Virgin Olive Oil,Pantry
83,Organic Baby Spinach,Produce
83,Organic Hass Avocados,Produce
83,Oven Roasted Turkey Breast,Bakery & Deli
83,Roma Tomatoes,Produce
83,Slow-Simmered Marinara,Pantry
84,Espresso Roast Coffee Beans,Beverages
84,Grade A Large Pasture Eggs,Dairy & Eggs
84,Madagascar Vanilla Syrup,Beverages
84,Organic Whole Milk,Dairy & Eggs
85,Fresh Limes,Produce
85,Fresh Organic Cilantro,Produce
85,Organic Bananas,Produce
85,Organic Strawberry Jam,Pantry
85,Organic Tortilla Chips,Pantry
85,Sparkling Mineral Water,Beverages
86,Creamy Peanut Butter,Pantry
86,Extra Virgin Olive Oil,Pantry
86,Honeycrisp Apples,Produce
86,Organic Bananas,Produce
86,Organic Strawberry Jam,Pantry
86,Organic Whole Milk,Dairy & Eggs
87,Espresso Roast Coffee Beans,Beverages
87,Extra Virgin Olive Oil,Pantry
87,Organic Hass Avocados,Produce
87,Roma Tomatoes,Produce
88,72% Dark Chocolate Bar,Snacks
88,Artisanal Sourdough Bread,Bakery & Deli
88,Extra Virgin Olive Oil,Pantry
88,Grated Parmesan Cheese,Pantry
88,Penne Rigate Pasta,Pantry
88,Slow-Simmered Marinara,Pantry
89,Brioche Sandwich Buns,Bakery & Deli
89,Extra Virgin Olive Oil,Pantry
89,Organic Baby Spinach,Produce
89,Organic Hass Avocados,Produce
89,Oven Roasted Turkey Breast,Bakery & Deli
89,Roma Tomatoes,Produce
89,Salted Creamery Butter,Dairy & Eggs
89,Sparkling Mineral Water,Beverages
90,Espresso Roast Coffee Beans,Beverages
90,Grade A Large Pasture Eggs,Dairy & Eggs
90,Grated Parmesan Cheese,Pantry
90,Organic Green Tea Bags,Beverages
90,Organic Whole Milk,Dairy & Eggs
90,Salted Creamery Butter,Dairy & Eggs
91,Extra Virgin Olive Oil,Pantry
91,Organic Baby Spinach,Produce
91,Organic Hass Avocados,Produce
91,Oven Roasted Turkey Breast,Bakery & Deli
91,Roasted Salted Almonds,Snacks
91,Roma Tomatoes,Produce
92,Artisanal Sourdough Bread,Bakery & Deli
92,Creamy Peanut Butter,Pantry
92,Organic Bananas,Produce
92,Organic Hass Avocados,Produce
92,Organic Strawberry Jam,Pantry
92,Sea Salt Kettle Chips,Snacks
93,Artisanal Sourdough Bread,Bakery & Deli
93,Creamy Peanut Butter,Pantry
93,Organic Bananas,Produce
93,Organic Strawberry Jam,Pantry
93,Organic Whole Milk,Dairy & Eggs
93,Sea Salt Kettle Chips,Snacks
94,Artisanal Sourdough Bread,Bakery & Deli
94,Creamy Peanut Butter,Pantry
94,Organic Bananas,Produce
94,Organic Strawberry Jam,Pantry
94,Organic Whole Milk,Dairy & Eggs
94,Roasted Salted Almonds,Snacks
94,Roma Tomatoes,Produce
95,Artisanal Sourdough Bread,Bakery & Deli
95,Creamy Peanut Butter,Pantry
95,Organic Bananas,Produce
95,Organic Strawberry Jam,Pantry
95,Organic Whole Milk,Dairy & Eggs
95,Roma Tomatoes,Produce
96,Brioche Sandwich Buns,Bakery & Deli
96,Fresh Limes,Produce
96,Fresh Organic Cilantro,Produce
96,Mild Chunky Salsa,Pantry
96,Organic Hass Avocados,Produce
96,Organic Tortilla Chips,Pantry
96,Sparkling Mineral Water,Beverages
97,Artisanal Sourdough Bread,Bakery & Deli
97,Barista Oat Milk,Dairy & Eggs
97,Espresso Roast Coffee Beans,Beverages
97,Grade A Large Pasture Eggs,Dairy & Eggs
97,Madagascar Vanilla Syrup,Beverages
97,Organic Whole Milk,Dairy & Eggs
98,Fresh Limes,Produce
98,Fresh Organic Cilantro,Produce
98,Mild Chunky Salsa,Pantry
98,Organic Hass Avocados,Produce
98,Organic Tortilla Chips,Pantry
98,Roma Tomatoes,Produce
99,Fresh Limes,Produce
99,Fresh Organic Cilantro,Produce
99,Mild Chunky Salsa,Pantry
99,Organic Bananas,Produce
99,Organic Hass Avocados,Produce
99,Organic Tortilla Chips,Pantry
99,Roma Tomatoes,Produce
100,Fresh Limes,Produce
100,Fresh Organic Cilantro,Produce
100,Organic Tortilla Chips,Pantry
100,Roma Tomatoes,Produce
100,Sparkling Mineral Water,Beverages
101,72% Dark Chocolate Bar,Snacks
101,Espresso Roast Coffee Beans,Beverages
101,Grated Parmesan Cheese,Pantry
101,Penne Rigate Pasta,Pantry
101,Slow-Simmered Marinara,Pantry
102,Artisanal Sourdough Bread,Bakery & Deli
102,Espresso Roast Coffee Beans,Beverages
102,Grade A Large Pasture Eggs,Dairy & Eggs
102,Madagascar Vanilla Syrup,Beverages
102,Organic Strawberry Jam,Pantry
102,Organic Whole Milk,Dairy & Eggs
102,Salted Creamery Butter,Dairy & Eggs
102,Sea Salt Kettle Chips,Snacks
103,Extra Virgin Olive Oil,Pantry
103,Grade A Large Pasture Eggs,Dairy & Eggs
103,Organic Baby Spinach,Produce
103,Organic Hass Avocados,Produce
103,Roasted Salted Almonds,Snacks
104,Espresso Roast Coffee Beans,Beverages
104,Grade A Large Pasture Eggs,Dairy & Eggs
104,Organic Whole Milk,Dairy & Eggs
104,Roma Tomatoes,Produce
105,Extra Virgin Olive Oil,Pantry
105,Fresh Limes,Produce
105,Organic Baby Spinach,Produce
105,Penne Rigate Pasta,Pantry
105,Roma Tomatoes,Produce
106,Fresh Limes,Produce
106,Fresh Organic Cilantro,Produce
106,Organic Hass Avocados,Produce
106,Organic Tortilla Chips,Pantry
106,Roma Tomatoes,Produce
106,Sparkling Mineral Water,Beverages
107,Fresh Organic Cilantro,Produce
107,Mild Chunky Salsa,Pantry
107,Organic Hass Avocados,Produce
107,Organic Tortilla Chips,Pantry
107,Roma Tomatoes,Produce
107,Sparkling Mineral Water,Beverages
108,Artisanal Sourdough Bread,Bakery & Deli
108,Organic Green Tea Bags,Beverages
108,Penne Rigate Pasta,Pantry
108,Slow-Simmered Marinara,Pantry
108,Sparkling Mineral Water,Beverages
109,Artisanal Sourdough Bread,Bakery & Deli
109,Creamy Peanut Butter,Pantry
109,Fresh Organic Cilantro,Produce
109,Madagascar Vanilla Syrup,Beverages
109,Organic Strawberry Jam,Pantry
109,Organic Whole Milk,Dairy & Eggs
109,Roasted Salted Almonds,Snacks
110,Extra Virgin Olive Oil,Pantry
110,Fresh Organic Cilantro,Produce
110,Honeycrisp Apples,Produce
110,Organic Baby Spinach,Produce
110,Oven Roasted Turkey Breast,Bakery & Deli
110,Roasted Salted Almonds,Snacks
110,Roma Tomatoes,Produce
110,Sparkling Mineral Water,Beverages
111,Artisanal Sourdough Bread,Bakery & Deli
111,Espresso Roast Coffee Beans,Beverages
111,Grade A Large Pasture Eggs,Dairy & Eggs
111,Madagascar Vanilla Syrup,Beverages
111,Organic Whole Milk,Dairy & Eggs
111,Salted Creamery Butter,Dairy & Eggs
111,Slow-Simmered Marinara,Pantry
112,Artisanal Sourdough Bread,Bakery & Deli
112,Creamy Peanut Butter,Pantry
112,Organic Bananas,Produce
112,Organic Strawberry Jam,Pantry
112,Organic Whole Milk,Dairy & Eggs
112,Roasted Salted Almonds,Snacks
113,Fresh Organic Cilantro,Produce
113,Mild Chunky Salsa,Pantry
113,Organic Tortilla Chips,Pantry
114,Artisanal Sourdough Bread,Bakery & Deli
114,Espresso Roast Coffee Beans,Beverages
114,Grade A Large Pasture Eggs,Dairy & Eggs
114,Madagascar Vanilla Syrup,Beverages
114,Organic Whole Milk,Dairy & Eggs
114,Roasted Salted Almonds,Snacks
115,Fresh Limes,Produce
115,Fresh Organic Cilantro,Produce
115,Mild Chunky Salsa,Pantry
115,Organic Hass Avocados,Produce
115,Organic Tortilla Chips,Pantry
115,Oven Roasted Turkey Breast,Bakery & Deli
115,Slow-Simmered Marinara,Pantry
116,Espresso Roast Coffee Beans,Beverages
116,Fresh Limes,Produce
116,Fresh Organic Cilantro,Produce
116,Organic Hass Avocados,Produce
116,Roma Tomatoes,Produce
117,Cold Brew Concentrate,Beverages
117,Fresh Limes,Produce
117,Fresh Organic Cilantro,Produce
117,Grade A Large Pasture Eggs,Dairy & Eggs
117,Mild Chunky Salsa,Pantry
117,Organic Hass Avocados,Produce
117,Organic Tortilla Chips,Pantry
117,Roma Tomatoes,Produce
118,Artisanal Sourdough Bread,Bakery & Deli
118,Extra Virgin Olive Oil,Pantry
118,Grated Parmesan Cheese,Pantry
118,Penne Rigate Pasta,Pantry
118,Slow-Simmered Marinara,Pantry
119,Artisanal Sourdough Bread,Bakery & Deli
