antecedent,consequent,antecedent_str,consequent_str,rule_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"['Creamy Peanut Butter', 'Sea Salt Kettle Chips']","['Organic Strawberry Jam', 'Organic Whole Milk']",Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter + Sea Salt Kettle Chips ➔ Organic Strawberry Jam + Organic Whole Milk,0.0378,0.4961,5.795,0.0313,1.815,0.0762,0.0856
"['Organic Strawberry Jam', 'Organic Whole Milk']","['Creamy Peanut Butter', 'Sea Salt Kettle Chips']",Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Strawberry Jam + Organic Whole Milk ➔ Creamy Peanut Butter + Sea Salt Kettle Chips,0.0378,0.4416,5.795,0.0313,1.654,0.0856,0.0762
"['Organic Bananas', 'Organic Strawberry Jam']","['Artisanal Sourdough Bread', 'Creamy Peanut Butter']",Organic Bananas + Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Bananas + Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Creamy Peanut Butter,0.0615,0.7621,5.791,0.0509,3.65,0.0807,0.1316
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter']","['Organic Bananas', 'Organic Strawberry Jam']",Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Bananas + Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter ➔ Organic Bananas + Organic Strawberry Jam,0.0615,0.4673,5.791,0.0509,1.726,0.1316,0.0807
"['Organic Strawberry Jam', 'Sea Salt Kettle Chips']","['Artisanal Sourdough Bread', 'Creamy Peanut Butter']",Organic Strawberry Jam + Sea Salt Kettle Chips,Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Strawberry Jam + Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread + Creamy Peanut Butter,0.0577,0.7523,5.716,0.0476,3.506,0.0767,0.1316
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter']","['Organic Strawberry Jam', 'Sea Salt Kettle Chips']",Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Strawberry Jam + Sea Salt Kettle Chips,Artisanal Sourdough Bread + Creamy Peanut Butter ➔ Organic Strawberry Jam + Sea Salt Kettle Chips,0.0577,0.4384,5.716,0.0476,1.644,0.1316,0.0767
"['Organic Bananas', 'Sea Salt Kettle Chips']","['Artisanal Sourdough Bread', 'Organic Strawberry Jam']",Organic Bananas + Sea Salt Kettle Chips,Artisanal Sourdough Bread + Organic Strawberry Jam,Organic Bananas + Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread + Organic Strawberry Jam,0.0354,0.7329,5.668,0.0292,3.26,0.0483,0.1293
"['Organic Bananas', 'Sea Salt Kettle Chips']","['Artisanal Sourdough Bread', 'Creamy Peanut Butter']",Organic Bananas + Sea Salt Kettle Chips,Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Bananas + Sea Salt Kettle Chips ➔ Artisanal Sourdough Bread + Creamy Peanut Butter,0.036,0.7453,5.664,0.0296,3.41,0.0483,0.1316
"['Organic Bananas', 'Organic Strawberry Jam']","['Creamy Peanut Butter', 'Organic Whole Milk']",Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter + Organic Whole Milk,Organic Bananas + Organic Strawberry Jam ➔ Creamy Peanut Butter + Organic Whole Milk,0.0399,0.4944,5.644,0.0328,1.805,0.0807,0.0876
"['Creamy Peanut Butter', 'Organic Whole Milk']","['Organic Bananas', 'Organic Strawberry Jam']",Creamy Peanut Butter + Organic Whole Milk,Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter + Organic Whole Milk ➔ Organic Bananas + Organic Strawberry Jam,0.0399,0.4555,5.644,0.0328,1.688,0.0876,0.0807
"['Organic Strawberry Jam', 'Sea Salt Kettle Chips']","['Creamy Peanut Butter', 'Organic Whole Milk']",Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Whole Milk,Organic Strawberry Jam + Sea Salt Kettle Chips ➔ Creamy Peanut Butter + Organic Whole Milk,0.0378,0.4928,5.626,0.0311,1.799,0.0767,0.0876
"['Creamy Peanut Butter', 'Organic Whole Milk']","['Organic Strawberry Jam', 'Sea Salt Kettle Chips']",Creamy Peanut Butter + Organic Whole Milk,Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Whole Milk ➔ Organic Strawberry Jam + Sea Salt Kettle Chips,0.0378,0.4315,5.626,0.0311,1.624,0.0876,0.0767
"['Artisanal Sourdough Bread', 'Sea Salt Kettle Chips']","['Creamy Peanut Butter', 'Organic Strawberry Jam']",Artisanal Sourdough Bread + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Strawberry Jam,Artisanal Sourdough Bread + Sea Salt Kettle Chips ➔ Creamy Peanut Butter + Organic Strawberry Jam,0.0577,0.6717,5.439,0.0471,2.67,0.0859,0.1235
"['Creamy Peanut Butter', 'Organic Strawberry Jam']","['Artisanal Sourdough Bread', 'Sea Salt Kettle Chips']",Creamy Peanut Butter + Organic Strawberry Jam,Artisanal Sourdough Bread + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Sea Salt Kettle Chips,0.0577,0.4672,5.439,0.0471,1.716,0.1235,0.0859
"['Organic Strawberry Jam', 'Organic Whole Milk']","['Artisanal Sourdough Bread', 'Creamy Peanut Butter']",Organic Strawberry Jam + Organic Whole Milk,Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Strawberry Jam + Organic Whole Milk ➔ Artisanal Sourdough Bread + Creamy Peanut Butter,0.0611,0.7138,5.424,0.0498,3.034,0.0856,0.1316
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter']","['Organic Strawberry Jam', 'Organic Whole Milk']",Artisanal Sourdough Bread + Creamy Peanut Butter,Organic Strawberry Jam + Organic Whole Milk,Artisanal Sourdough Bread + Creamy Peanut Butter ➔ Organic Strawberry Jam + Organic Whole Milk,0.0611,0.4643,5.424,0.0498,1.707,0.1316,0.0856
"['Creamy Peanut Butter', 'Organic Whole Milk', 'Sea Salt Kettle Chips']",['Organic Strawberry Jam'],Creamy Peanut Butter + Organic Whole Milk + Sea Salt Kettle Chips,Organic Strawberry Jam,Creamy Peanut Butter + Organic Whole Milk + Sea Salt Kettle Chips ➔ Organic Strawberry Jam,0.0378,0.8811,5.406,0.0308,7.041,0.0429,0.163
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Organic Bananas']",['Organic Strawberry Jam'],Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Bananas ➔ Organic Strawberry Jam,0.0615,0.8811,5.405,0.0501,7.039,0.0698,0.163
['Organic Strawberry Jam'],"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Organic Bananas']",Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Bananas,0.0615,0.3773,5.405,0.0501,1.494,0.163,0.0698
"['Creamy Peanut Butter', 'Organic Bananas', 'Sea Salt Kettle Chips']",['Organic Strawberry Jam'],Creamy Peanut Butter + Organic Bananas + Sea Salt Kettle Chips,Organic Strawberry Jam,Creamy Peanut Butter + Organic Bananas + Sea Salt Kettle Chips ➔ Organic Strawberry Jam,0.0362,0.8808,5.404,0.0295,7.021,0.0411,0.163
"['Creamy Peanut Butter', 'Organic Whole Milk']","['Artisanal Sourdough Bread', 'Organic Strawberry Jam']",Creamy Peanut Butter + Organic Whole Milk,Artisanal Sourdough Bread + Organic Strawberry Jam,Creamy Peanut Butter + Organic Whole Milk ➔ Artisanal Sourdough Bread + Organic Strawberry Jam,0.0611,0.6975,5.394,0.0498,2.878,0.0876,0.1293
"['Artisanal Sourdough Bread', 'Organic Strawberry Jam']","['Creamy Peanut Butter', 'Organic Whole Milk']",Artisanal Sourdough Bread + Organic Strawberry Jam,Creamy Peanut Butter + Organic Whole Milk,Artisanal Sourdough Bread + Organic Strawberry Jam ➔ Creamy Peanut Butter + Organic Whole Milk,0.0611,0.4725,5.394,0.0498,1.73,0.1293,0.0876
"['Creamy Peanut Butter', 'Organic Bananas', 'Organic Whole Milk']",['Organic Strawberry Jam'],Creamy Peanut Butter + Organic Bananas + Organic Whole Milk,Organic Strawberry Jam,Creamy Peanut Butter + Organic Bananas + Organic Whole Milk ➔ Organic Strawberry Jam,0.0399,0.8769,5.38,0.0325,6.801,0.0455,0.163
"['Organic Bananas', 'Organic Strawberry Jam', 'Organic Whole Milk']",['Creamy Peanut Butter'],Organic Bananas + Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter,Organic Bananas + Organic Strawberry Jam + Organic Whole Milk ➔ Creamy Peanut Butter,0.0399,0.8926,5.368,0.0325,7.764,0.0447,0.1663
"['Organic Bananas', 'Organic Strawberry Jam', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Organic Bananas + Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter,Organic Bananas + Organic Strawberry Jam + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0362,0.8916,5.362,0.0294,7.693,0.0406,0.1663
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Sea Salt Kettle Chips']",['Organic Strawberry Jam'],Artisanal Sourdough Bread + Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter + Sea Salt Kettle Chips ➔ Organic Strawberry Jam,0.0577,0.8729,5.355,0.0469,6.586,0.0661,0.163
['Organic Strawberry Jam'],"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Sea Salt Kettle Chips']",Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Creamy Peanut Butter + Sea Salt Kettle Chips,0.0577,0.354,5.355,0.0469,1.446,0.163,0.0661
"['Creamy Peanut Butter', 'Sea Salt Kettle Chips']",['Organic Strawberry Jam'],Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Strawberry Jam,Creamy Peanut Butter + Sea Salt Kettle Chips ➔ Organic Strawberry Jam,0.0664,0.8714,5.346,0.054,6.508,0.0762,0.163
['Organic Strawberry Jam'],"['Creamy Peanut Butter', 'Sea Salt Kettle Chips']",Organic Strawberry Jam,Creamy Peanut Butter + Sea Salt Kettle Chips,Organic Strawberry Jam ➔ Creamy Peanut Butter + Sea Salt Kettle Chips,0.0664,0.4074,5.346,0.054,1.559,0.163,0.0762
"['Organic Whole Milk', 'Sea Salt Kettle Chips']","['Creamy Peanut Butter', 'Organic Strawberry Jam']",Organic Whole Milk + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Strawberry Jam,Organic Whole Milk + Sea Salt Kettle Chips ➔ Creamy Peanut Butter + Organic Strawberry Jam,0.0378,0.6597,5.342,0.0307,2.576,0.0573,0.1235
"['Creamy Peanut Butter', 'Organic Bananas']",['Organic Strawberry Jam'],Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam,Creamy Peanut Butter + Organic Bananas ➔ Organic Strawberry Jam,0.0699,0.8694,5.334,0.0568,6.409,0.0804,0.163
['Organic Strawberry Jam'],"['Creamy Peanut Butter', 'Organic Bananas']",Organic Strawberry Jam,Creamy Peanut Butter + Organic Bananas,Organic Strawberry Jam ➔ Creamy Peanut Butter + Organic Bananas,0.0699,0.4288,5.334,0.0568,1.61,0.163,0.0804
"['Artisanal Sourdough Bread', 'Organic Bananas', 'Organic Strawberry Jam']",['Creamy Peanut Butter'],Artisanal Sourdough Bread + Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Bananas + Organic Strawberry Jam ➔ Creamy Peanut Butter,0.0615,0.8836,5.313,0.0499,7.164,0.0696,0.1663
['Creamy Peanut Butter'],"['Artisanal Sourdough Bread', 'Organic Bananas', 'Organic Strawberry Jam']",Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter ➔ Artisanal Sourdough Bread + Organic Bananas + Organic Strawberry Jam,0.0615,0.3698,5.313,0.0499,1.476,0.1663,0.0696
"['Organic Strawberry Jam', 'Organic Whole Milk', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Organic Strawberry Jam + Organic Whole Milk + Sea Salt Kettle Chips,Creamy Peanut Butter,Organic Strawberry Jam + Organic Whole Milk + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0378,0.8832,5.311,0.0307,7.136,0.0428,0.1663
"['Artisanal Sourdough Bread', 'Organic Bananas', 'Sea Salt Kettle Chips']",['Organic Strawberry Jam'],Artisanal Sourdough Bread + Organic Bananas + Sea Salt Kettle Chips,Organic Strawberry Jam,Artisanal Sourdough Bread + Organic Bananas + Sea Salt Kettle Chips ➔ Organic Strawberry Jam,0.0354,0.8592,5.271,0.0287,5.946,0.0412,0.163
"['Artisanal Sourdough Bread', 'Organic Strawberry Jam', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Artisanal Sourdough Bread + Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Strawberry Jam + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0577,0.8756,5.265,0.0467,6.7,0.0659,0.1663
"['Artisanal Sourdough Bread', 'Organic Bananas', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Artisanal Sourdough Bread + Organic Bananas + Sea Salt Kettle Chips,Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Bananas + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.036,0.8738,5.254,0.0291,6.605,0.0412,0.1663
"['Extra Virgin Olive Oil', 'Oven Roasted Turkey Breast']","['Organic Baby Spinach', 'Roasted Salted Almonds']",Extra Virgin Olive Oil + Oven Roasted Turkey Breast,Organic Baby Spinach + Roasted Salted Almonds,Extra Virgin Olive Oil + Oven Roasted Turkey Breast ➔ Organic Baby Spinach + Roasted Salted Almonds,0.0426,0.4733,5.213,0.0344,1.726,0.09,0.0908
"['Organic Baby Spinach', 'Roasted Salted Almonds']","['Extra Virgin Olive Oil', 'Oven Roasted Turkey Breast']",Organic Baby Spinach + Roasted Salted Almonds,Extra Virgin Olive Oil + Oven Roasted Turkey Breast,Organic Baby Spinach + Roasted Salted Almonds ➔ Extra Virgin Olive Oil + Oven Roasted Turkey Breast,0.0426,0.4692,5.213,0.0344,1.714,0.0908,0.09
"['Creamy Peanut Butter', 'Organic Bananas']","['Artisanal Sourdough Bread', 'Sea Salt Kettle Chips']",Creamy Peanut Butter + Organic Bananas,Artisanal Sourdough Bread + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Bananas ➔ Artisanal Sourdough Bread + Sea Salt Kettle Chips,0.036,0.4478,5.213,0.0291,1.655,0.0804,0.0859
"['Artisanal Sourdough Bread', 'Sea Salt Kettle Chips']","['Creamy Peanut Butter', 'Organic Bananas']",Artisanal Sourdough Bread + Sea Salt Kettle Chips,Creamy Peanut Butter + Organic Bananas,Artisanal Sourdough Bread + Sea Salt Kettle Chips ➔ Creamy Peanut Butter + Organic Bananas,0.036,0.4191,5.213,0.0291,1.583,0.0859,0.0804
"['Organic Bananas', 'Organic Strawberry Jam']",['Creamy Peanut Butter'],Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter,Organic Bananas + Organic Strawberry Jam ➔ Creamy Peanut Butter,0.0699,0.8662,5.208,0.0565,6.23,0.0807,0.1663
['Creamy Peanut Butter'],"['Organic Bananas', 'Organic Strawberry Jam']",Creamy Peanut Butter,Organic Bananas + Organic Strawberry Jam,Creamy Peanut Butter ➔ Organic Bananas + Organic Strawberry Jam,0.0699,0.4203,5.208,0.0565,1.586,0.1663,0.0807
"['Organic Strawberry Jam', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter,Organic Strawberry Jam + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0664,0.8657,5.206,0.0536,6.208,0.0767,0.1663
['Creamy Peanut Butter'],"['Organic Strawberry Jam', 'Sea Salt Kettle Chips']",Creamy Peanut Butter,Organic Strawberry Jam + Sea Salt Kettle Chips,Creamy Peanut Butter ➔ Organic Strawberry Jam + Sea Salt Kettle Chips,0.0664,0.3993,5.206,0.0536,1.537,0.1663,0.0767
"['Artisanal Sourdough Bread', 'Organic Bananas']","['Creamy Peanut Butter', 'Organic Strawberry Jam']",Artisanal Sourdough Bread + Organic Bananas,Creamy Peanut Butter + Organic Strawberry Jam,Artisanal Sourdough Bread + Organic Bananas ➔ Creamy Peanut Butter + Organic Strawberry Jam,0.0615,0.6426,5.204,0.0497,2.453,0.0957,0.1235
"['Creamy Peanut Butter', 'Organic Strawberry Jam']","['Artisanal Sourdough Bread', 'Organic Bananas']",Creamy Peanut Butter + Organic Strawberry Jam,Artisanal Sourdough Bread + Organic Bananas,Creamy Peanut Butter + Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Organic Bananas,0.0615,0.498,5.204,0.0497,1.801,0.1235,0.0957
"['Organic Bananas', 'Sea Salt Kettle Chips']",['Organic Strawberry Jam'],Organic Bananas + Sea Salt Kettle Chips,Organic Strawberry Jam,Organic Bananas + Sea Salt Kettle Chips ➔ Organic Strawberry Jam,0.0406,0.8406,5.157,0.0327,5.25,0.0483,0.163
"['Organic Baby Spinach', 'Oven Roasted Turkey Breast']","['Extra Virgin Olive Oil', 'Roasted Salted Almonds']",Organic Baby Spinach + Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Roasted Salted Almonds,Organic Baby Spinach + Oven Roasted Turkey Breast ➔ Extra Virgin Olive Oil + Roasted Salted Almonds,0.0426,0.4718,5.139,0.0343,1.719,0.0903,0.0918
"['Extra Virgin Olive Oil', 'Roasted Salted Almonds']","['Organic Baby Spinach', 'Oven Roasted Turkey Breast']",Extra Virgin Olive Oil + Roasted Salted Almonds,Organic Baby Spinach + Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Roasted Salted Almonds ➔ Organic Baby Spinach + Oven Roasted Turkey Breast,0.0426,0.4641,5.139,0.0343,1.697,0.0918,0.0903
"['Oven Roasted Turkey Breast', 'Roasted Salted Almonds']","['Extra Virgin Olive Oil', 'Organic Baby Spinach']",Oven Roasted Turkey Breast + Roasted Salted Almonds,Extra Virgin Olive Oil + Organic Baby Spinach,Oven Roasted Turkey Breast + Roasted Salted Almonds ➔ Extra Virgin Olive Oil + Organic Baby Spinach,0.0426,0.7802,5.12,0.0343,3.857,0.0546,0.1524
"['Organic Bananas', 'Sea Salt Kettle Chips']",['Creamy Peanut Butter'],Organic Bananas + Sea Salt Kettle Chips,Creamy Peanut Butter,Organic Bananas + Sea Salt Kettle Chips ➔ Creamy Peanut Butter,0.0411,0.8509,5.117,0.0331,5.593,0.0483,0.1663
"['Organic Bananas', 'Organic Strawberry Jam']","['Artisanal Sourdough Bread', 'Sea Salt Kettle Chips']",Organic Bananas + Organic Strawberry Jam,Artisanal Sourdough Bread + Sea Salt Kettle Chips,Organic Bananas + Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Sea Salt Kettle Chips,0.0354,0.4387,5.107,0.0285,1.628,0.0807,0.0859
"['Artisanal Sourdough Bread', 'Sea Salt Kettle Chips']","['Organic Bananas', 'Organic Strawberry Jam']",Artisanal Sourdough Bread + Sea Salt Kettle Chips,Organic Bananas + Organic Strawberry Jam,Artisanal Sourdough Bread + Sea Salt Kettle Chips ➔ Organic Bananas + Organic Strawberry Jam,0.0354,0.4121,5.107,0.0285,1.564,0.0859,0.0807
"['Artisanal Sourdough Bread', 'Organic Strawberry Jam', 'Organic Whole Milk']",['Creamy Peanut Butter'],Artisanal Sourdough Bread + Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Strawberry Jam + Organic Whole Milk ➔ Creamy Peanut Butter,0.0611,0.8474,5.096,0.0491,5.465,0.0721,0.1663
['Creamy Peanut Butter'],"['Artisanal Sourdough Bread', 'Organic Strawberry Jam', 'Organic Whole Milk']",Creamy Peanut Butter,Artisanal Sourdough Bread + Organic Strawberry Jam + Organic Whole Milk,Creamy Peanut Butter ➔ Artisanal Sourdough Bread + Organic Strawberry Jam + Organic Whole Milk,0.0611,0.3674,5.096,0.0491,1.467,0.1663,0.0721
"['Organic Baby Spinach', 'Oven Roasted Turkey Breast']","['Extra Virgin Olive Oil', 'Roma Tomatoes']",Organic Baby Spinach + Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Roma Tomatoes,Organic Baby Spinach + Oven Roasted Turkey Breast ➔ Extra Virgin Olive Oil + Roma Tomatoes,0.0695,0.7697,5.094,0.0559,3.685,0.0903,0.1511
"['Extra Virgin Olive Oil', 'Roma Tomatoes']","['Organic Baby Spinach', 'Oven Roasted Turkey Breast']",Extra Virgin Olive Oil + Roma Tomatoes,Organic Baby Spinach + Oven Roasted Turkey Breast,Extra Virgin Olive Oil + Roma Tomatoes ➔ Organic Baby Spinach + Oven Roasted Turkey Breast,0.0695,0.46,5.094,0.0559,1.685,0.1511,0.0903
"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Organic Whole Milk']",['Organic Strawberry Jam'],Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Whole Milk,Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Whole Milk ➔ Organic Strawberry Jam,0.0611,0.8302,5.093,0.0491,4.928,0.0736,0.163
['Organic Strawberry Jam'],"['Artisanal Sourdough Bread', 'Creamy Peanut Butter', 'Organic Whole Milk']",Organic Strawberry Jam,Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Whole Milk,Organic Strawberry Jam ➔ Artisanal Sourdough Bread + Creamy Peanut Butter + Organic Whole Milk,0.0611,0.3748,5.093,0.0491,1.482,0.163,0.0736
"['Oven Roasted Turkey Breast', 'Roma Tomatoes']","['Organic Baby Spinach', 'Roasted Salted Almonds']",Oven Roasted Turkey Breast + Roma Tomatoes,Organic Baby Spinach + Roasted Salted Almonds,Oven Roasted Turkey Breast + Roma Tomatoes ➔ Organic Baby Spinach + Roasted Salted Almonds,0.0418,0.4614,5.081,0.0336,1.688,0.0906,0.0908
"['Organic Baby Spinach', 'Roasted Salted Almonds']","['Oven Roasted Turkey Breast', 'Roma Tomatoes']",Organic Baby Spinach + Roasted Salted Almonds,Oven Roasted Turkey Breast + Roma Tomatoes,Organic Baby Spinach + Roasted Salted Almonds ➔ Oven Roasted Turkey Breast + Roma Tomatoes,0.0418,0.4604,5.081,0.0336,1.685,0.0908,0.0906
"['Oven Roasted Turkey Breast', 'Roasted Salted Almonds']","['Extra Virgin Olive Oil', 'Roma Tomatoes']",Oven Roasted Turkey Breast + Roasted Salted Almonds,Extra Virgin Olive Oil + Roma Tomatoes,Oven Roasted Turkey Breast + Roasted Salted Almonds ➔ Extra Virgin Olive Oil + Roma Tomatoes,0.0418,0.7656,5.067,0.0335,3.621,0.0546,0.1511
